record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Friction,StressThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-23.5625966430995,1474.9121057441764,-180.5290680552109,0.0,-180.5290680552109,,,
occupation,Friction,StressThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-7.603465968543892,636.6534585903457,-72.77919559502814,0.0,-72.77919559502814,,,
occupation,Friction,StressThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.3862969875441676,40.18139984251213,-4.257643766742242,0.0,-4.257643766742242,,,
occupation,Friction,StressThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-40.68852710285964,6061.847310147665,-528.784286804129,0.0,-528.784286804129,,,
occupation,Friction,StressThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-19.157647289551683,5166.009013777703,-685.569027677331,0.0,-685.569027677331,,,
occupation,Friction,StressThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-1.1980209904264192,994.3541501882039,-93.49382380896117,0.0,-93.49382380896117,,,
quintile,Base,BaseThrottle,,,Q1,,6574.699999999999,-40.30782656473835,4189.743251215282,-381.4364882990467,0.0,-381.4364882990467,0.290060455699763,0.3803515698113704,0.0902911141116074
quintile,Base,BaseThrottle,,,Q2,,6574.699999999999,-36.47291786254488,4891.050566225232,-372.7194827222467,0.0,-372.7194827222467,0.290060455699763,0.3803515698113704,0.0902911141116074
quintile,Base,BaseThrottle,,,Q3,,6574.700000000001,-102.77466953444491,6054.856478801394,-605.5571975211284,525.1469362067756,-80.41026131435274,0.290060455699763,0.3803515698113704,0.0902911141116074
quintile,Base,BaseThrottle,,,Q4,,6574.699999999997,-156.03875533396914,9998.807859347855,-1248.387112287262,2100.5877448271026,852.2006325398406,0.290060455699763,0.3803515698113704,0.0902911141116074
